"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kevin Gausman","TOR","10.23","1.64","6.25","0.20","27.0%","4.3%","22.6%",".270","1.27",".372","70.5%","72","40","69","2.86","1.67","1.19","2.80","3.05","14107"
"Carlos Rodon","SFG","11.16","2.88","3.88","0.36","31.0%","8.0%","23.0%",".202","1.06",".293","75.0%","68","58","77","2.70","2.13","0.57","3.06","3.09","16137"
"Zack Wheeler","PHI","9.85","1.99","4.95","0.47","27.2%","5.5%","21.7%",".223","1.05",".301","76.8%","59","61","77","2.46","2.45","0.01","3.05","3.12","10310"
"Shane McClanahan","TBR","12.16","1.64","7.42","1.04","36.0%","4.8%","31.1%",".177","0.81",".247","88.2%","47","63","47","1.73","2.47","-0.74","1.97","2.18","21483"
"Max Fried","ATL","8.39","1.43","5.88","0.50","23.5%","4.0%","19.5%",".229","1.02",".290","78.2%","59","64","74","2.52","2.50","0.02","2.94","3.20","13743"
"Shane Bieber","CLE","9.22","2.33","3.96","0.65","25.1%","6.3%","18.7%",".247","1.20",".319","71.8%","89","70","80","3.44","2.80","0.64","3.23","3.47","19427"
"Dylan Cease","CHW","13.01","4.21","3.09","0.78","34.3%","11.1%","23.2%",".204","1.23",".307","77.1%","64","67","73","2.45","2.81","-0.36","2.96","3.13","18525"
"Sandy Alcantara","MIA","7.81","2.19","3.57","0.44","22.8%","6.4%","16.4%",".189","0.91",".237","78.3%","46","75","85","1.82","2.85","-1.03","3.38","3.47","18684"
"Aaron Nola","PHI","9.70","1.21","8.00","0.97","27.8%","3.5%","24.4%",".215","0.93",".273","74.8%","75","72","76","3.15","2.91","0.24","3.00","2.91","16149"
"Corbin Burnes","MIL","11.34","2.20","5.15","1.02","32.4%","6.3%","26.1%",".181","0.89",".243","85.7%","53","75","72","2.20","2.98","-0.78","2.83","2.74","19361"
"Martin Perez","TEX","7.30","2.21","3.31","0.51","19.7%","6.0%","13.8%",".244","1.18",".296","76.3%","71","76","93","2.72","3.06","-0.35","3.72","3.86","6902"
"Logan Webb","SFG","7.50","2.04","3.67","0.60","20.7%","5.6%","15.0%",".234","1.11",".284","73.7%","75","82","84","2.98","3.09","-0.11","3.34","3.52","17995"
"Tarik Skubal","DET","9.22","2.38","3.88","0.86","25.2%","6.5%","18.7%",".245","1.19",".312","68.0%","103","77","82","3.99","3.11","0.88","3.31","3.45","22267"
"Joe Musgrove","SDP","8.91","2.09","4.26","0.82","25.5%","6.0%","19.5%",".193","0.93",".239","82.7%","53","80","82","2.09","3.12","-1.03","3.25","3.36","12970"
"Justin Verlander","HOU","8.54","1.65","5.16","0.96","24.6%","4.8%","19.8%",".189","0.87",".225","80.2%","53","81","87","2.00","3.26","-1.25","3.49","3.43","8700"
"Kyle Wright","ATL","9.00","2.88","3.12","0.70","24.5%","7.9%","16.7%",".226","1.16",".290","77.5%","70","83","87","2.97","3.28","-0.31","3.47","3.56","19665"
"Frankie Montas","OAK","9.31","2.23","4.17","1.02","25.8%","6.2%","19.6%",".224","1.09",".279","71.7%","88","84","78","3.26","3.29","-0.03","3.13","3.33","14309"
"Yu Darvish","SDP","8.08","1.78","4.55","0.80","22.4%","4.9%","17.5%",".212","0.99",".256","73.7%","85","85","99","3.38","3.32","0.06","3.96","3.72","13074"
"Framber Valdez","HOU","7.93","3.30","2.40","0.50","21.8%","9.1%","12.7%",".203","1.10",".253","76.5%","70","83","79","2.64","3.32","-0.68","3.21","3.36","17295"
"Merrill Kelly","ARI","7.40","3.14","2.35","0.55","20.0%","8.5%","11.5%",".235","1.23",".286","72.8%","81","85","102","3.42","3.34","0.08","4.10","4.30","11156"
"Tony Gonsolin","LAD","8.12","2.33","3.48","0.81","24.0%","6.9%","17.1%",".156","0.80",".183","90.8%","40","84","95","1.62","3.35","-1.73","3.81","3.72","19388"
"Tyler Anderson","LAD","7.59","1.48","5.13","0.89","21.1%","4.1%","17.0%",".229","1.03",".270","76.4%","79","84","98","3.15","3.35","-0.20","3.92","3.77","12880"
"Alek Manoah","TOR","8.11","2.09","3.88","0.84","22.7%","5.8%","16.8%",".205","0.98",".246","80.8%","59","85","97","2.34","3.40","-1.06","3.87","3.77","26410"
"Jameson Taillon","NYY","7.46","1.11","6.73","1.01","20.0%","3.0%","17.0%",".259","1.15",".303","76.3%","95","83","91","3.63","3.40","0.22","3.67","3.75","11674"
"Logan Gilbert","SEA","8.37","2.61","3.21","0.90","22.7%","7.1%","15.6%",".228","1.15",".276","81.7%","71","89","96","2.61","3.50","-0.89","3.86","3.90","22250"
"Tyler Mahle","CIN","9.94","3.51","2.83","0.97","25.8%","9.1%","16.7%",".235","1.30",".302","68.5%","103","86","101","4.48","3.53","0.95","4.03","3.84","16358"
"Jon Gray","TEX","9.91","2.94","3.37","1.09","26.5%","7.8%","18.6%",".232","1.21",".296","70.8%","105","89","83","4.03","3.56","0.47","3.36","3.50","14916"
"Carlos Carrasco","NYM","9.10","2.32","3.92","1.06","23.7%","6.0%","17.6%",".275","1.34",".344","72.7%","118","93","89","4.55","3.59","0.96","3.54","3.58","6632"
"Pablo Lopez","MIA","8.91","2.55","3.50","1.00","24.6%","7.0%","17.5%",".214","1.07",".262","79.7%","74","93","87","2.91","3.60","-0.69","3.48","3.57","17085"
"Gerrit Cole","NYY","11.23","2.63","4.28","1.45","31.2%","7.3%","23.9%",".199","1.03",".251","83.1%","85","88","72","3.26","3.60","-0.34","2.94","2.97","13125"
"Nestor Cortes","NYY","9.64","2.13","4.52","1.32","26.9%","5.9%","21.0%",".211","1.03",".256","86.7%","72","88","91","2.74","3.61","-0.87","3.65","3.42","17874"
"Nick Pivetta","BOS","8.52","3.05","2.79","0.90","23.1%","8.3%","14.8%",".220","1.16",".269","74.5%","91","92","103","3.68","3.64","0.04","4.13","4.03","15454"
"Paul Blackburn","OAK","7.22","2.27","3.17","0.89","19.4%","6.1%","13.3%",".246","1.20",".287","78.5%","91","93","91","3.36","3.64","-0.28","3.66","3.94","14739"
"Miles Mikolas","STL","7.05","1.87","3.77","0.93","19.7%","5.2%","14.5%",".210","0.99",".239","78.2%","69","95","97","2.72","3.65","-0.93","3.86","3.96","9803"
"Adam Wainwright","STL","7.15","2.30","3.11","0.94","19.5%","6.3%","13.3%",".252","1.21",".294","80.3%","80","96","94","3.15","3.69","-0.54","3.76","4.01","2233"
"Chris Bassitt","NYM","9.19","2.44","3.77","1.22","24.9%","6.6%","18.3%",".229","1.14",".278","74.1%","102","98","90","3.94","3.79","0.15","3.58","3.53","12304"
"Jordan Montgomery","NYY","7.13","1.69","4.22","1.03","19.6%","4.7%","15.0%",".224","1.03",".255","79.5%","83","93","91","3.19","3.79","-0.60","3.63","3.78","16511"
"Charlie Morton","ATL","10.34","3.26","3.18","1.15","27.3%","8.6%","18.7%",".230","1.22",".297","73.9%","100","98","91","4.21","3.87","0.35","3.63","3.54","4676"
"JT Brubaker","PIT","9.10","3.93","2.32","0.93","22.2%","9.6%","12.6%",".255","1.47",".316","68.1%","106","98","107","4.34","3.91","0.44","4.27","4.22","17578"
"Zac Gallen","ARI","8.69","2.69","3.23","1.03","23.3%","7.2%","16.1%",".213","1.09",".257","73.6%","86","99","98","3.62","3.91","-0.29","3.92","3.78","19291"
"Julio Urias","LAD","8.52","2.16","3.95","1.33","23.9%","6.0%","17.8%",".212","1.03",".245","81.3%","64","98","97","2.57","3.92","-1.36","3.86","3.70","14765"
"Robbie Ray","SEA","10.03","3.10","3.24","1.31","27.6%","8.5%","19.1%",".209","1.11",".259","79.3%","95","100","90","3.51","3.93","-0.42","3.59","3.50","11486"
"Sean Manaea","SDP","9.37","3.57","2.63","1.22","25.1%","9.5%","15.5%",".223","1.23",".272","71.6%","105","101","98","4.18","3.97","0.20","3.89","3.92","15873"
"Dane Dunning","TEX","7.91","3.18","2.48","0.96","20.2%","8.1%","12.1%",".255","1.35",".305","73.3%","109","102","98","4.15","4.05","0.09","3.92","4.03","19409"
"Jordan Lyles","BAL","7.44","2.85","2.61","1.10","18.9%","7.2%","11.7%",".270","1.40",".314","70.3%","115","98","109","4.50","4.14","0.36","4.33","4.34","7593"
"Chad Kuhl","COL","6.49","3.40","1.91","1.03","16.9%","8.9%","8.1%",".251","1.35",".282","74.0%","86","102","117","4.02","4.28","-0.26","4.70","4.84","14975"
"Zach Plesac","CLE","6.33","2.32","2.73","1.16","16.7%","6.1%","10.6%",".249","1.23",".275","72.9%","98","109","112","3.80","4.32","-0.52","4.44","4.50","19979"
"Chris Flexen","SEA","6.60","3.20","2.06","1.10","17.1%","8.3%","8.8%",".266","1.40",".300","78.0%","109","111","123","4.00","4.32","-0.32","4.89","4.86","13896"
"Kyle Gibson","PHI","7.39","2.46","3.00","1.28","19.6%","6.5%","13.1%",".248","1.23",".281","71.1%","108","105","99","4.53","4.33","0.21","3.95","4.05","10123"
"Dakota Hudson","STL","5.00","4.10","1.22","0.60","13.3%","10.9%","2.4%",".252","1.38",".281","72.7%","101","112","118","4.00","4.36","-0.36","4.75","5.17","19206"
"Kyle Freeland","COL","6.08","2.67","2.28","1.01","15.5%","6.8%","8.7%",".270","1.37",".301","68.2%","100","104","115","4.70","4.38","0.32","4.61","4.66","16256"
"Brad Keller","KCR","5.86","3.08","1.90","1.09","15.4%","8.1%","7.3%",".256","1.33",".281","70.4%","111","113","109","4.37","4.44","-0.07","4.34","4.63","15734"
"Patrick Corbin","WSN","7.89","3.14","2.52","1.43","18.8%","7.5%","11.3%",".309","1.67",".358","65.0%","136","112","103","5.70","4.55","1.16","4.13","4.26","9323"
"Cal Quantrill","CLE","5.58","2.74","2.04","1.12","14.7%","7.2%","7.5%",".258","1.30",".280","73.6%","100","116","119","3.86","4.56","-0.70","4.74","4.86","19312"
"Triston McKenzie","CLE","8.10","2.60","3.11","1.54","22.9%","7.4%","15.5%",".200","1.01",".217","82.2%","90","116","109","3.47","4.56","-1.09","4.36","4.07","18000"
"Madison Bumgarner","ARI","6.50","2.86","2.28","1.28","16.7%","7.3%","9.3%",".259","1.35",".285","76.3%","87","116","118","3.65","4.59","-0.94","4.73","4.66","5524"
"Jose Urquidy","HOU","6.62","2.04","3.25","1.63","17.3%","5.3%","12.0%",".260","1.27",".278","78.6%","108","120","115","4.08","4.73","-0.66","4.57","4.46","18413"
"Josiah Gray","WSN","10.24","3.72","2.75","1.86","26.8%","9.8%","17.1%",".220","1.24",".256","82.0%","99","121","105","4.14","4.93","-0.79","4.19","3.91","24580"
"Jose Berrios","TOR","7.35","2.32","3.17","1.81","18.7%","5.9%","12.8%",".280","1.39",".307","72.5%","136","128","109","5.44","5.06","0.38","4.34","4.24","14168"
"German Marquez","COL","7.70","3.50","2.20","1.70","19.3%","8.8%","10.5%",".284","1.53",".320","64.5%","126","120","102","5.90","5.08","0.82","4.08","4.30","15038"
"Marco Gonzales","SEA","4.67","3.05","1.53","1.34","12.1%","7.9%","4.2%",".250","1.31",".256","77.5%","88","133","125","3.24","5.14","-1.89","4.98","5.16","15467"
"Hunter Greene","CIN","11.29","3.90","2.89","2.32","28.9%","10.0%","18.9%",".235","1.34",".276","72.6%","131","129","101","5.70","5.42","0.27","4.04","3.69","22182"
